Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
"Marley Aké","frFRA","FW","Marseille","frLigue 1","19","2001","9","0","146","1.6","0","0","0","0","0","0","0","0","1.0","1.0","0.0","1.0","4","5","12","0.00","0.00","0.00","0.00","0.00","0.64","0.00","0.64","0.64","0.64",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","25","1995","10","9","797","8.9","1","0","1","1","0","0","4","0","0.3","0.3","0.0","0.3","12","52","6","0.11","0.00","0.11","0.11","0.11","0.03","0.00","0.03","0.03","0.03",
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","22","1997","10","4","378","4.2","0","0","0","0","0","0","5","1","0.0","0.0","0.6","0.6","4","13","1","0.00","0.00","0.00","0.00","0.00","0.00","0.14","0.14","0.00","0.14",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Lazio","itSerie A","27","1992","32","6","1,056","11.7","0","1","1","0","0","0","9","0","1.2","1.2","0.8","1.9","11","26","31","0.00","0.09","0.09","0.00","0.09","0.10","0.06","0.16","0.10","0.16",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","25","1995","16","14","1,184","13.2","1","0","1","1","0","0","1","0","0.1","0.1","0.4","0.5","10","56","14","0.08","0.00","0.08","0.08","0.08","0.01","0.03","0.04","0.01","0.04",
"David Alaba","atAUT","DF,MF","Bayern Munich","deBundesliga","28","1992","32","30","2,675","29.7","2","4","6","2","0","0","4","0","1.2","1.2","2.1","3.3","56","242","70","0.07","0.13","0.20","0.07","0.20","0.04","0.07","0.11","0.04","0.11",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","22","1998","22","17","1,505","16.7","0","2","2","0","0","0","4","0","0.2","0.2","1.3","1.5","35","65","47","0.00","0.12","0.12","0.00","0.12","0.01","0.08","0.09","0.01","0.09",
"Jony Álamo","esESP","MF","Elche","esLa Liga","18","2001","1","1","73","0.8","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1","1","1","0.00","0.00","0.00","0.00","0.00","0.03","0.00","0.03","0.03","0.03",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","27","1992","25","12","1,245","13.8","11","2","13","9","2","2","2","0","7.2","5.7","0.9","6.6","7","21","75","0.80","0.14","0.94","0.65","0.80","0.52","0.07","0.59","0.41","0.48",
"Jordi Alba","esESP","DF,FW","Barcelona","esLa Liga","31","1989","35","34","3,025","33.6","3","5","8","3","0","0","9","0","1.9","1.9","7.6","9.5","48","197","354","0.09","0.15","0.24","0.09","0.24","0.06","0.22","0.28","0.06","0.28",
"Luis Alberto","esESP","MF","Lazio","itSerie A","27","1992","34","33","2,618","29.1","9","2","11","9","0","0","5","0","5.1","5.0","7.9","12.9","143","301","132","0.31","0.07","0.38","0.31","0.38","0.18","0.27","0.45","0.17","0.44",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","34","1985","35","35","3,115","34.6","0","0","0","0","0","0","7","0","0.9","0.9","1.0","1.9","19","136","2","0.00","0.00","0.00","0.00","0.00","0.03","0.03","0.06","0.03","0.06",
"Marc Albrighton","engENG","DF,FW","Leicester City","engPremier League","30","1989","31","17","1,746","19.4","1","5","6","1","0","0","2","0","1.2","1.2","3.5","4.7","46","84","139","0.05","0.26","0.31","0.05","0.31","0.06","0.18","0.24","0.06","0.24",
"Paco Alcácer","esESP","FW","Villarreal","esLa Liga","26","1993","27","19","1,544","17.2","6","4","10","5","1","2","0","0","9.0","7.5","2.8","10.2","12","13","77","0.35","0.23","0.58","0.29","0.52","0.53","0.16","0.69","0.43","0.60",
"Pedro Alcalá","esESP","DF","Cádiz","esLa Liga","31","1989","13","8","909","10.1","0","0","0","0","0","0","2","0","0.1","0.1","0.0","0.1","1","11","0","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.01","0.01",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","29","1991","24","20","1,854","20.6","1","0","1","1","0","0","4","0","1.2","1.2","2.3","3.5","27","203","25","0.05","0.00","0.05","0.05","0.05","0.06","0.11","0.17","0.06","0.17",
"Rubén Alcaraz","esESP","MF","Valladolid","esLa Liga","29","1991","30","25","2,165","24.1","1","0","1","1","0","0","10","0","1.8","1.8","0.5","2.3","25","107","21","0.04","0.00","0.04","0.04","0.04","0.07","0.02","0.10","0.07","0.10",
"Omar Alderete","pyPAR","DF","Hertha BSC","deBundesliga","23","1996","17","14","1,299","14.4","0","0","0","0","0","0","2","0","0.3","0.3","0.1","0.4","8","55","3","0.00","0.00","0.00","0.00","0.00","0.02","0.01","0.03","0.02","0.03",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","31","1989","25","25","2,240","24.9","1","0","1","1","0","0","2","0","0.7","0.7","0.7","1.4","3","59","1","0.04","0.00","0.04","0.04","0.04","0.03","0.03","0.06","0.03","0.06",
"Iván Alejo","esESP","MF,FW","Cádiz","esLa Liga","25","1995","22","6","827","9.2","1","1","2","1","0","0","5","0","1.1","1.1","0.8","1.9","46","13","79","0.11","0.11","0.22","0.11","0.22","0.12","0.09","0.21","0.12","0.21",
"Carles Aleñá","esESP","MF","Barcelona","esLa Liga","22","1998","2","0","48","0.5","0","0","0","0","0","0","1","0","0.1","0.1","0.0","0.1","1","7","1","0.00","0.00","0.00","0.00","0.00","0.10","0.00","0.10","0.10","0.10",
"Carles Aleñá","esESP","MF,FW","Getafe","esLa Liga","22","1998","22","15","1,366","15.2","2","2","4","2","0","0","1","0","1.7","1.7","2.7","4.3","20","77","51","0.13","0.13","0.26","0.13","0.26","0.11","0.18","0.29","0.11","0.29",
"Rúnar Alex Rúnarsson","isISL","GK","Arsenal","engPremier League","25","1995","1","0","16","0.2","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","21","1998","36","34","3,031","33.7","2","7","9","2","0","0","2","0","2.6","2.6","8.6","11.2","98","251","249","0.06","0.21","0.27","0.06","0.27","0.08","0.26","0.33","0.08","0.33",
"Alfon","esESP","MF","Celta Vigo","esLa Liga","21","1999","2","0","34","0.4","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0","1","5","0.00","0.00","0.00","0.00","0.00","0.17","0.18","0.35","0.17","0.35",
"Mohamed Ali Cho","frFRA","FW,MF","Angers","frLigue 1","16","2004","21","1","348","3.9","0","0","0","0","0","0","1","0","1.9","1.9","0.1","2.0","15","4","26","0.00","0.00","0.00","0.00","0.00","0.49","0.02","0.51","0.49","0.51",
"Ezgjan Alioski","mkMKD","DF,MF","Leeds United","engPremier League","28","1992","36","29","2,461","27.3","2","3","5","2","0","0","7","0","1.6","1.6","3.3","4.9","77","132","122","0.07","0.11","0.18","0.07","0.18","0.06","0.12","0.18","0.06","0.18",
"Rachid Alioui","maMAR","FW","Angers","frLigue 1","28","1992","1","0","15","0.2","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Alisson","brBRA","GK","Liverpool","engPremier League","27","1992","33","33","2,970","33.0","1","0","1","1","0","0","1","0","0.1","0.1","0.0","0.1","0","1","0","0.03","0.00","0.03","0.03","0.03","0.00","0.00","0.00","0.00","0.00",
"Saturnin Allagbé","bjBEN","GK","Dijon","frLigue 1","26","1993","12","12","1,080","12.0","0","0","0","0","0","0","2","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Allan","brBRA","MF","Everton","engPremier League","29","1991","24","23","2,051","22.8","0","0","0","0","0","0","6","0","0.3","0.3","0.8","1.1","30","92","8","0.00","0.00","0.00","0.00","0.00","0.01","0.03","0.05","0.01","0.05",
"Dele Alli","engENG","MF","Tottenham","engPremier League","24","1996","15","7","620","6.9","0","1","1","0","0","0","0","0","2.0","2.0","1.2","3.3","15","26","30","0.00","0.15","0.15","0.00","0.15","0.30","0.18","0.47","0.30","0.47",
"Miguel Almirón","pyPAR","MF,FW","Newcastle Utd","engPremier League","26","1994","34","28","2,429","27.0","4","1","5","4","0","0","3","0","3.2","3.2","2.9","6.1","70","90","109","0.15","0.04","0.19","0.15","0.19","0.12","0.11","0.23","0.12","0.23",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","29","1990","13","11","960","10.7","2","0","2","2","0","0","2","0","1.8","1.8","1.3","3.2","24","42","74","0.19","0.00","0.19","0.19","0.19","0.17","0.13","0.30","0.17","0.30",
"Sergio Álvarez","esESP","MF,DF","Eibar","esLa Liga","28","1992","27","17","1,568","17.4","0","0","0","0","0","0","3","0","0.4","0.4","0.3","0.8","9","49","15","0.00","0.00","0.00","0.00","0.00","0.02","0.02","0.04","0.02","0.04",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","25","1995","23","22","1,948","21.6","1","0","1","1","0","0","6","0","0.6","0.6","0.5","1.1","19","65","2","0.05","0.00","0.05","0.05","0.05","0.03","0.02","0.05","0.03","0.05",
"Bruno Alves","ptPOR","DF","Parma","itSerie A","38","1981","19","18","1,632","18.1","1","0","1","1","0","0","3","0","0.4","0.4","0.1","0.6","0","50","6","0.06","0.00","0.06","0.06","0.06","0.02","0.01","0.03","0.02","0.03",
"Steven Alzate","coCOL","MF","Brighton","engPremier League","21","1998","15","10","896","10.0","1","0","1","1","0","0","2","0","0.8","0.8","0.6","1.4","16","39","16","0.10","0.00","0.10","0.10","0.10","0.08","0.06","0.14","0.08","0.14",
"Ibrahim Amadou","frFRA","MF","Angers","frLigue 1","27","1993","24","20","1,504","16.7","0","0","0","0","0","0","6","0","1.5","1.5","0.2","1.7","14","63","14","0.00","0.00","0.00","0.00","0.00","0.09","0.01","0.10","0.09","0.10",
"Romain Amalfitano","frFRA","FW,DF","Dijon","frLigue 1","30","1989","2","1","116","1.3","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.1","3","8","8","0.00","0.00","0.00","0.00","0.00","0.04","0.02","0.06","0.04","0.06",
"Emmanuel Amankwaa Akurugu","ghGHA","DF","Getafe","esLa Liga","18","2001","1","0","45","0.5","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","2","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","25","1994","12","8","722","8.0","1","0","1","1","0","0","3","0","0.4","0.4","0.0","0.4","4","24","0","0.12","0.00","0.12","0.12","0.12","0.05","0.00","0.05","0.05","0.05",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","26","1994","13","10","813","9.0","1","0","1","1","0","0","3","1","0.2","0.2","0.3","0.5","17","25","33","0.11","0.00","0.11","0.11","0.11","0.03","0.03","0.06","0.03","0.06",
"Thierry Ambrose","gpGLP","FW","Metz","frLigue 1","23","1997","23","5","753","8.4","0","1","1","0","0","0","4","0","1.0","1.0","1.4","2.4","26","30","77","0.00","0.12","0.12","0.00","0.12","0.12","0.16","0.29","0.12","0.29",
"Wisdom Amey","itITA","DF","Bologna","itSerie A","14","2005","1","0","2","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","1","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Nadiem Amiri","deGER","MF","Leverkusen","deBundesliga","23","1996","29","20","1,890","21.0","2","6","8","2","0","0","5","0","2.2","2.2","3.1","5.3","45","113","82","0.10","0.29","0.38","0.10","0.38","0.10","0.15","0.25","0.10","0.25",
"Ethan Ampadu","wlsWAL","DF,MF","Sheffield Utd","engPremier League","19","2000","25","23","2,089","23.2","0","0","0","0","0","0","3","0","0.3","0.3","1.2","1.5","25","100","23","0.00","0.00","0.00","0.00","0.00","0.01","0.05","0.07","0.01","0.07",
"Sofyan Amrabat","maMAR","MF","Fiorentina","itSerie A","23","1996","31","28","2,441","27.1","0","0","0","0","0","0","7","0","0.4","0.4","0.6","1.1","38","151","46","0.00","0.00","0.00","0.00","0.00","0.02","0.02","0.04","0.02","0.04",
"Jon Ander Garrido","esESP","MF","Cádiz","esLa Liga","30","1989","23","7","800","8.9","0","0","0","0","0","0","1","0","0.3","0.3","0.1","0.4","0","22","3","0.00","0.00","0.00","0.00","0.00","0.03","0.01","0.04","0.03","0.04",
"Joachim Andersen","dkDEN","DF","Fulham","engPremier League","24","1996","31","30","2,730","30.3","1","1","2","1","0","0","7","1","1.2","1.2","0.4","1.7","20","95","7","0.03","0.03","0.07","0.03","0.07","0.04","0.01","0.05","0.04","0.05",
"Joachim Andersen","dkDEN","DF","Lyon","frLigue 1","24","1996","3","2","192","2.1","0","0","0","0","0","0","1","0","0.3","0.3","0.0","0.3","4","12","0","0.00","0.00","0.00","0.00","0.00","0.16","0.00","0.16","0.16","0.16",
"Djavan Anderson","srSUR","DF","Lazio","itSerie A","25","1995","3","1","72","0.8","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","2","0","4","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Elliot Anderson","engENG","MF","Newcastle Utd","engPremier League","17","2002","1","0","4","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Felipe Anderson","brBRA","FW,MF","West Ham","engPremier League","27","1993","2","0","3","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","2","1","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Sebastian Andersson","seSWE","FW","Köln","deBundesliga","29","1991","16","14","1,126","12.5","3","0","3","2","1","1","1","0","6.2","5.4","0.3","5.7","6","20","55","0.24","0.00","0.24","0.16","0.16","0.49","0.03","0.52","0.43","0.46",
"Nícolas Andrade","brBRA","GK","Udinese","itSerie A","32","1988","2","2","180","2.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Benjamin André","frFRA","MF","Lille","frLigue 1","29","1990","35","35","2,885","32.1","0","1","1","0","0","0","10","0","1.6","1.6","1.1","2.7","28","200","64","0.00","0.03","0.03","0.00","0.03","0.05","0.03","0.08","0.05","0.08",
"Marcos André","brBRA","FW","Valladolid","esLa Liga","23","1996","23","11","1,177","13.1","4","1","5","4","0","0","3","0","4.9","4.9","0.7","5.6","26","15","67","0.31","0.08","0.38","0.31","0.38","0.38","0.05","0.43","0.38","0.43",
"Robert Andrich","deGER","MF","Union Berlin","deBundesliga","25","1994","29","29","2,526","28.1","5","2","7","5","0","0","5","1","2.6","2.6","2.0","4.5","25","128","31","0.18","0.07","0.25","0.18","0.25","0.09","0.07","0.16","0.09","0.16",
"Victorien Angban","ciCIV","MF","Metz","frLigue 1","23","1996","26","21","1,672","18.6","0","1","1","0","0","0","5","0","0.5","0.5","0.5","1.0","20","90","30","0.00","0.05","0.05","0.00","0.05","0.03","0.03","0.05","0.03","0.05",
"Ángel","esESP","GK","Granada","esLa Liga","18","2002","1","1","90","1.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"José Ángel","esESP","DF","Eibar","esLa Liga","30","1989","14","11","901","10.0","0","0","0","0","0","0","3","0","0.0","0.0","1.0","1.1","14","55","24","0.00","0.00","0.00","0.00","0.00","0.00","0.10","0.11","0.00","0.11",
"Miguel Ángel Rubio","esESP","DF","Valladolid","esLa Liga","22","1998","2","1","135","1.5","0","0","0","0","0","0","0","0","0.1","0.1","0.0","0.1","0","3","0","0.00","0.00","0.00","0.00","0.00","0.07","0.00","0.07","0.07","0.07",
"Angeliño","esESP","DF,FW","RB Leipzig","deBundesliga","23","1997","26","24","2,161","24.0","4","4","8","4","0","0","2","0","4.2","4.2","5.5","9.7","47","93","242","0.17","0.17","0.33","0.17","0.33","0.17","0.23","0.40","0.17","0.40",
"Davide Angelo Ghislandi","itITA","DF","Atalanta","itSerie A","19","2001","1","0","5","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","1","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
